COUNT_time,drivinstage,turn,omega,hsv.val,halftrack,travel_deg
0,100,90,0,3,0,1
4,0,62,0,3,0,1
8,0,63,0,3,0,1
12,0,63,0,3,0,0
16,0,63,0,3,0,0
20,0,63,0,3,0,0
24,0,63,0,3,0,0
28,0,63,0,3,0,0
32,0,63,0,3,0,1
36,0,63,0,3,0,1
40,0,63,0,3,0,2
44,0,63,0,3,0,2
48,0,63,0,3,0,2
52,0,63,1,3,0,3
56,0,63,1,3,0,3
60,0,63,1,3,0,4
64,0,63,1,3,0,4
68,0,63,2,3,0,5
72,0,64,2,3,0,5
76,0,64,2,3,0,5
80,0,64,2,3,0,6
84,0,64,2,3,0,6
88,0,64,2,3,0,7
92,0,64,2,3,0,7
96,0,64,2,3,0,7
100,0,64,2,3,0,8
104,0,64,2,3,0,8
108,0,64,3,3,0,9
112,0,64,3,3,0,9
116,0,64,3,3,0,9
120,0,64,3,3,0,10
124,0,64,3,3,0,10
128,0,64,3,3,0,11
132,0,64,3,3,0,11
136,0,64,3,3,0,11
140,0,64,4,3,0,12
144,0,64,4,3,0,12
148,0,64,4,3,0,13
152,0,64,4,3,0,13
156,0,64,4,3,0,13
160,0,64,4,3,0,14
164,0,64,4,3,0,14
168,0,64,5,3,0,16
172,0,64,5,3,0,16
176,0,64,5,3,0,16
180,0,64,5,3,0,16
184,0,64,5,3,0,16
188,0,64,5,3,0,16
192,0,64,5,3,0,18
196,0,64,5,3,0,18
200,0,64,6,3,0,18
204,0,64,6,3,0,18
208,0,64,6,3,0,18
212,0,58,6,4,0,20
216,0,60,6,4,0,20
220,0,55,6,5,0,21
224,0,56,6,5,0,21
228,0,56,7,5,0,22
232,0,56,7,5,0,22
236,0,56,7,5,0,22
240,0,51,7,6,0,23
244,0,52,7,6,0,23
248,0,47,7,7,0,25
252,0,49,7,7,0,25
256,0,49,7,7,0,25
260,0,43,8,8,0,25
264,0,45,8,8,0,25
268,0,45,8,8,0,27
272,0,45,8,8,0,27
276,0,45,8,8,0,27
280,0,34,8,10,0,28
284,0,37,8,10,0,28
288,0,32,8,11,0,29
292,0,34,8,11,0,29
296,0,34,8,11,0,29
300,0,28,9,12,0,31
304,0,30,9,12,0,31
308,0,30,9,12,0,32
312,0,30,9,12,0,32
316,0,30,9,12,0,32
320,0,30,9,12,0,33
324,0,30,9,12,0,33
328,0,30,9,12,0,33
332,0,19,9,14,0,35
336,0,22,9,14,0,35
340,0,22,10,14,0,36
344,0,22,10,14,0,36
348,0,22,10,14,0,36
352,0,12,10,16,0,37
356,0,15,10,16,0,37
360,0,9,10,17,0,39
364,0,11,10,17,0,39
368,0,11,10,17,0,40
372,0,11,10,17,0,40
376,0,11,10,17,0,40
380,0,6,10,18,0,41
384,0,7,10,18,0,41
388,0,7,10,18,0,41
392,0,2,10,19,0,43
396,0,3,10,19,0,43
400,0,-1,10,20,0,44
